zone_name,density_spike_anomalies,accumulation_anomalies,mean_density_z_score,max_density_z_score,mean_density_change_z_score,max_density_change_z_score
crosswalk_bottom,277,181,0.061591088613860874,12.165799055823117,0.005134544206066268,12.165799055817283
crosswalk_left,311,151,0.058906909480353147,6.488131923419229,0.004737954051472525,5.551091401057956
crosswalk_main,284,139,-0.01998580501468521,7.1999999988071455,0.008425725385715158,6.82815235275983
crosswalk_top,343,198,0.029837369073787805,9.220167799605035,0.005871529022911524,9.220167799605035
sidewalk_bottom,231,105,0.0400032390371884,5.9662955032751555,0.002035088438571547,6.494533170718091
sidewalk_left,168,108,-0.00709645373448002,4.488793291201233,0.0017439568676063438,4.978241558636014
sidewalk_right,108,86,0.0012624335846047323,3.737536293459674,0.0005573742106525372,4.645774004019853
sidewalk_top,172,108,-0.010648760259770539,4.889591533264269,0.001165996673107526,4.519004963431699
