frame_id,timestamp_sec,zone_name,zone_short_id,zone_count,zone_density_pixel,zone_area_pixels,risk_level,inference_time_sec,inference_fps,count_change,density_change,density_trend,count_trend,density_rolling_mean_5s,density_rolling_std_5s,density_z_score,density_spike_anomaly,density_change_z_score,accumulation_anomaly,csv_anomaly_score
0,0.0,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,1.2399535179138184,0.8064818443214449,0.0,0.0,STABLE,STABLE,,,0.0,0,0.0,0,0.0
1,0.033289653684324,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.551837682723999,1.812127064363868,0.0,0.0,STABLE,STABLE,,,0.0,0,0.0,0,0.0
2,0.0665793073686481,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.5481994152069092,1.8241537153456573,0.0,0.0,STABLE,STABLE,,,0.0,0,0.0,0,0.0
3,0.0998689610529722,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.5462567806243896,1.830640891737704,0.0,0.0,STABLE,STABLE,,,0.0,0,0.0,0,0.0
4,0.1331586147372963,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.551429033279419,1.8134699837128128,0.0,0.0,STABLE,STABLE,1.0579939376947258e-05,0.0,0.0,0,0.0,0,0.0
5,0.1664482684216204,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.5663509368896484,1.7656896720113426,0.0,0.0,STABLE,STABLE,1.0579939376947258e-05,0.0,0.0,0,0.0,0,0.0
6,0.1997379221059445,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5579860210418701,1.7921595923367444,-1.0,-1.0579939376947258e-05,STABLE,STABLE,9.068519465954793e-06,3.998841211077442e-06,-2.2677868380553634,0,-2.2677868380553634,0,0.0
7,0.2330275757902686,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.553849458694458,1.8055447817123709,0.0,0.0,STABLE,STABLE,7.934954532710444e-06,4.897560264776429e-06,-1.6201851746019649,0,0.35355339059327373,0,0.0
8,0.2663172294745927,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5553603172302246,1.8006327945564211,0.0,0.0,STABLE,STABLE,7.053292917964839e-06,5.289969688473629e-06,-1.3333333333333333,0,0.3333333333333333,0,0.0
9,0.2996068831589168,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5538415908813477,1.805570431084211,0.0,0.0,STABLE,STABLE,6.3479636261683554e-06,5.463457201440108e-06,-1.161895003862225,0,0.31622776601683794,0,0.0
10,0.3328965368432409,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5532593727111816,1.807470508994035,0.0,0.0,STABLE,STABLE,5.7708760237894136e-06,5.525193140677095e-06,-1.044465935734187,0,0.30151134457776363,0,0.0
11,0.366186190527565,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5513508319854736,1.813727198703759,0.0,0.0,STABLE,STABLE,5.289969688473629e-06,5.525193140677095e-06,-0.9574271077563381,0,0.28867513459481287,0,0.0
12,0.3994758442118891,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5546197891235352,1.8030369986983308,0.0,0.0,STABLE,STABLE,4.883048943206427e-06,5.4896609834346225e-06,-0.8894991799933214,0,0.2773500981126145,0,0.0
13,0.4327654978962131,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5505948066711426,1.8162176393306897,0.0,0.0,STABLE,STABLE,4.534259732977396e-06,5.43335527979274e-06,-0.8345229603962802,0,0.26726124191242434,0,0.0
14,0.4660551515805373,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.5623416900634766,1.7782782562095316,1.0,1.0579939376947258e-05,STABLE,STABLE,4.9373050425753865e-06,5.463457201440107e-06,1.0327955589886446,0,2.6457513110645907,1,0.4
15,0.4993448052648613,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.5573842525482178,1.7940944607391698,0.0,0.0,STABLE,STABLE,5.289969688473629e-06,5.463457201440107e-06,0.9682458365518543,0,0.0,0,0.0
16,0.5326344589491855,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.5551788806915283,1.8012212545880788,0.0,0.0,STABLE,STABLE,5.601144376030902e-06,5.443333902119913e-06,0.9146591207600471,0,0.0,0,0.0
17,0.5659241126335095,crosswalk_bottom,CW4,1,1.0579939376947258e-05,94518.5,LOW,0.5518002510070801,1.8122499911424816,0.0,0.0,STABLE,STABLE,5.877744098304032e-06,5.409628724164139e-06,0.8692269873603533,0,0.0,0,0.0
18,0.5992137663178336,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5556564331054688,1.7996732160755722,-1.0,-1.0579939376947258e-05,STABLE,STABLE,5.5683891457617145e-06,5.42739438356059e-06,-1.0259783520851542,0,-2.341196917715124,0,0.0
19,0.6325034200021578,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5576174259185791,1.7933442419821646,0.0,0.0,STABLE,STABLE,5.289969688473629e-06,5.4273943835605905e-06,-0.9746794344808962,0,0.12689245413047318,0,0.0
20,0.6657930736864818,crosswalk_bottom,CW4,0,0.0,94518.5,LOW,0.5569324493408203,1.7955498933193603,0.0,0.0,STABLE,STABLE,5.0380663699748845e-06,5.414456595472353e-06,-0.9304842103984707,0,0.12393943320395887,0,0.0
